location,year,day_of_week,value,min,max,one,aggregation
Kopernika,2016,Mon,,,,1,2
Kotlarska,2016,Mon,454,454.167,454.167,1,2
Mogilska,2016,Mon,747,747,747,1,2
Kopernika,2017,Mon,,,,1,2
Kotlarska,2017,Mon,1421,1420.981,1420.981,1,2
Mogilska,2017,Mon,2106,2106,2106,1,2
Kopernika,2018,Mon,2089,2088.654,2088.654,1,2
Kotlarska,2018,Mon,1687,1687.396,1687.396,1,2
Mogilska,2018,Mon,2350,2349.906,2349.906,1,2
Kopernika,2019,Mon,2123,2123.192,2123.192,1,2
Kotlarska,2019,Mon,1972,1972.423,1972.423,1,2
Mogilska,2019,Mon,2397,2397.288,2397.288,1,2
Kopernika,2020,Mon,1885,1884.904,1884.904,1,2
Kotlarska,2020,Mon,1743,1743.327,1743.327,1,2
Mogilska,2020,Mon,2253,2253,2253,1,2
Kopernika,2021,Mon,1929,1928.577,1928.577,1,2
Kotlarska,2021,Mon,1804,1804.058,1804.058,1,2
Mogilska,2021,Mon,2211,2211.404,2211.404,1,2
Kopernika,2022,Mon,2211,2210.634,2210.634,1,2
Kotlarska,2022,Mon,2203,2202.61,2202.61,1,2
Mogilska,2022,Mon,2721,2720.951,2720.951,1,2
Kopernika,2016,Tue,,,,1,2
Kotlarska,2016,Tue,521,520.5,520.5,1,2
Mogilska,2016,Tue,846,846.167,846.167,1,2
Kopernika,2017,Tue,,,,1,2
Kotlarska,2017,Tue,1366,1365.885,1365.885,1,2
Mogilska,2017,Tue,2090,2090.25,2090.25,1,2
Kopernika,2018,Tue,2130,2130.28,2130.28,1,2
Kotlarska,2018,Tue,1733,1732.923,1732.923,1,2
Mogilska,2018,Tue,2362,2361.923,2361.923,1,2
Kopernika,2019,Tue,2156,2155.792,2155.792,1,2
Kotlarska,2019,Tue,2012,2012.321,2012.321,1,2
Mogilska,2019,Tue,2425,2424.792,2424.792,1,2
Kopernika,2020,Tue,2019,2019.154,2019.154,1,2
Kotlarska,2020,Tue,1914,1913.538,1913.538,1,2
Mogilska,2020,Tue,2415,2414.942,2414.942,1,2
Kopernika,2021,Tue,2034,2034.192,2034.192,1,2
Kotlarska,2021,Tue,1918,1918.173,1918.173,1,2
Mogilska,2021,Tue,2342,2342.019,2342.019,1,2
Kopernika,2022,Tue,2399,2398.537,2398.537,1,2
Kotlarska,2022,Tue,2369,2368.976,2368.976,1,2
Mogilska,2022,Tue,2904,2903.561,2903.561,1,2
Kopernika,2016,Wed,,,,1,2
Kotlarska,2016,Wed,533,533,533,1,2
Mogilska,2016,Wed,860,860,860,1,2
Kopernika,2017,Wed,,,,1,2
Kotlarska,2017,Wed,1397,1396.635,1396.635,1,2
Mogilska,2017,Wed,2138,2138.077,2138.077,1,2
Kopernika,2018,Wed,2130,2130.4,2130.4,1,2
Kotlarska,2018,Wed,1746,1746.192,1746.192,1,2
Mogilska,2018,Wed,2412,2411.692,2411.692,1,2
Kopernika,2019,Wed,2154,2154.385,2154.385,1,2
Kotlarska,2019,Wed,1998,1997.577,1997.577,1,2
Mogilska,2019,Wed,2418,2417.827,2417.827,1,2
Kopernika,2020,Wed,1965,1964.585,1964.585,1,2
Kotlarska,2020,Wed,1854,1854.264,1854.264,1,2
Mogilska,2020,Wed,2334,2333.868,2333.868,1,2
Kopernika,2021,Wed,2179,2179.365,2179.365,1,2
Kotlarska,2021,Wed,2080,2079.654,2079.654,1,2
Mogilska,2021,Wed,2520,2520.192,2520.192,1,2
Kopernika,2022,Wed,2533,2533.195,2533.195,1,2
Kotlarska,2022,Wed,2593,2593.488,2593.488,1,2
Mogilska,2022,Wed,3116,3116.073,3116.073,1,2
Kopernika,2016,Thu,,,,1,2
Kotlarska,2016,Thu,459,458.5,458.5,1,2
Mogilska,2016,Thu,760,760.333,760.333,1,2
Kopernika,2017,Thu,,,,1,2
Kotlarska,2017,Thu,1472,1472.019,1472.019,1,2
Mogilska,2017,Thu,2111,2110.673,2110.673,1,2
Kopernika,2018,Thu,2171,2171,2171,1,2
Kotlarska,2018,Thu,1713,1712.577,1712.577,1,2
Mogilska,2018,Thu,2348,2348.192,2348.192,1,2
Kopernika,2019,Thu,2161,2160.577,2160.577,1,2
Kotlarska,2019,Thu,2010,2010.058,2010.058,1,2
Mogilska,2019,Thu,2409,2409.365,2409.365,1,2
Kopernika,2020,Thu,1963,1963.17,1963.17,1,2
Kotlarska,2020,Thu,1858,1858.453,1858.453,1,2
Mogilska,2020,Thu,2325,2324.66,2324.66,1,2
Kopernika,2021,Thu,2021,2021.192,2021.192,1,2
Kotlarska,2021,Thu,1901,1900.731,1900.731,1,2
Mogilska,2021,Thu,2323,2323.077,2323.077,1,2
Kopernika,2022,Thu,2463,2462.805,2462.805,1,2
Kotlarska,2022,Thu,2499,2499.171,2499.171,1,2
Mogilska,2022,Thu,2988,2988.293,2988.293,1,2
Kopernika,2016,Fri,,,,1,2
Kotlarska,2016,Fri,428,428.429,428.429,1,2
Mogilska,2016,Fri,698,697.714,697.714,1,2
Kopernika,2017,Fri,,,,1,2
Kotlarska,2017,Fri,1223,1223.308,1223.308,1,2
Mogilska,2017,Fri,1873,1872.827,1872.827,1,2
Kopernika,2018,Fri,1954,1954.4,1954.4,1,2
Kotlarska,2018,Fri,1539,1539.038,1539.038,1,2
Mogilska,2018,Fri,2142,2142.019,2142.019,1,2
Kopernika,2019,Fri,1997,1996.615,1996.615,1,2
Kotlarska,2019,Fri,1837,1836.731,1836.731,1,2
Mogilska,2019,Fri,2235,2235.346,2235.346,1,2
Kopernika,2020,Fri,1844,1843.962,1843.962,1,2
Kotlarska,2020,Fri,1755,1755.096,1755.096,1,2
Mogilska,2020,Fri,2196,2196.308,2196.308,1,2
Kopernika,2021,Fri,1816,1816,1816,1,2
Kotlarska,2021,Fri,1719,1719.377,1719.377,1,2
Mogilska,2021,Fri,2064,2063.792,2063.792,1,2
Kopernika,2022,Fri,2113,2113.439,2113.439,1,2
Kotlarska,2022,Fri,2134,2133.61,2133.61,1,2
Mogilska,2022,Fri,2563,2562.756,2562.756,1,2
Kopernika,2016,Sat,,,,1,2
Kotlarska,2016,Sat,169,169,169,1,2
Mogilska,2016,Sat,307,307,307,1,2
Kopernika,2017,Sat,,,,1,2
Kotlarska,2017,Sat,637,637.25,637.25,1,2
Mogilska,2017,Sat,944,943.692,943.692,1,2
Kopernika,2018,Sat,835,835.423,835.423,1,2
Kotlarska,2018,Sat,801,800.635,800.635,1,2
Mogilska,2018,Sat,1104,1104.269,1104.269,1,2
Kopernika,2019,Sat,1052,1052.231,1052.231,1,2
Kotlarska,2019,Sat,979,978.712,978.712,1,2
Mogilska,2019,Sat,1208,1208.173,1208.173,1,2
Kopernika,2020,Sat,1214,1213.558,1213.558,1,2
Kotlarska,2020,Sat,1266,1265.923,1265.923,1,2
Mogilska,2020,Sat,1445,1445.231,1445.231,1,2
Kopernika,2021,Sat,1213,1212.962,1212.962,1,2
Kotlarska,2021,Sat,1167,1167.231,1167.231,1,2
Mogilska,2021,Sat,1350,1349.942,1349.942,1,2
Kopernika,2022,Sat,1198,1197.854,1197.854,1,2
Kotlarska,2022,Sat,1195,1194.756,1194.756,1,2
Mogilska,2022,Sat,1407,1406.805,1406.805,1,2
Kopernika,2016,Sun,,,,1,2
Kotlarska,2016,Sun,132,132.333,132.333,1,2
Mogilska,2016,Sun,259,258.833,258.833,1,2
Kopernika,2017,Sun,,,,1,2
Kotlarska,2017,Sun,695,694.566,694.566,1,2
Mogilska,2017,Sun,996,996.415,996.415,1,2
Kopernika,2018,Sun,1026,1026.385,1026.385,1,2
Kotlarska,2018,Sun,959,959.327,959.327,1,2
Mogilska,2018,Sun,1235,1235.308,1235.308,1,2
Kopernika,2019,Sun,1145,1144.635,1144.635,1,2
Kotlarska,2019,Sun,1082,1082.462,1082.462,1,2
Mogilska,2019,Sun,1251,1251.404,1251.404,1,2
Kopernika,2020,Sun,1166,1166.481,1166.481,1,2
Kotlarska,2020,Sun,1175,1175.288,1175.288,1,2
Mogilska,2020,Sun,1324,1323.788,1323.788,1,2
Kopernika,2021,Sun,1317,1316.558,1316.558,1,2
Kotlarska,2021,Sun,1222,1221.558,1221.558,1,2
Mogilska,2021,Sun,1390,1390.269,1390.269,1,2
Kopernika,2022,Sun,1387,1386.951,1386.951,1,2
Kotlarska,2022,Sun,1367,1366.634,1366.634,1,2
Mogilska,2022,Sun,1561,1561.073,1561.073,1,2
